xxxx-yyyy-zzzzzz-01010101111
Date,VisiToronto Raptors,VisiToronto RaptorsPts,Home,HomePts
10/30/2013,Orlando Magic,87,Indiana Pacers,97
10/30/2013,Los Angeles Clippers,103,Los Angeles Lakers,116
10/30/2013,Chicago Bulls,95,Miami Heat,107
10/30/2013,Brooklyn Nets,94,Cleveland Cavaliers,98
10/30/2013,Atlanta Hawks,109,Dallas Mavericks,118
10/30/2013,Washington Wizards,102,Detroit Pistons,113
10/30/2013,Los Angeles Lakers,94,Golden State Warriors,125
10/30/2013,Charlotte Bobcats,83,Houston Rockets,96
10/30/2013,Orlando Magic,115,Minnesota Timberwolves,120
10/30/2013,Indiana Pacers,95,New Orleans Pelicans,90
10/30/2013,Milwaukee Bucks,83,New York Knicks,90
10/30/2013,Miami Heat,110,Philadelphia 76ers,114
10/30/2013,Portland Trail Blazers,91,Phoenix Suns,104
10/30/2013,Denver Nuggets,88,Sacramento Kings,90
10/30/2013,Memphis Grizzlies,94,San Antonio Spurs,101
10/30/2013,Boston Celtics,87,Toronto Raptors,93
10/30/2013,Oklahoma City Thunder,101,Utah Jazz,98
10/30/2013,New York Knicks,81,Chicago Bulls,82
10/30/2013,Golden State Warriors,115,Los Angeles Clippers,126
10/30/2013,Toronto Raptors,95,Atlanta Hawks,102
10/30/2013,Milwaukee Bucks,105,Boston Celtics,98
10/30/2013,Miami Heat,100,Brooklyn Nets,101
10/30/2013,Cleveland Cavaliers,84,Charlotte Bobcats,90
10/30/2013,Portland Trail Blazers,113,Denver Nuggets,98
10/30/2013,Dallas Mavericks,105,Houston Rockets,113
10/30/2013,San Antonio Spurs,91,Los Angeles Lakers,85
10/30/2013,Detroit Pistons,108,Memphis Grizzlies,111
10/30/2013,Oklahoma City Thunder,81,Minnesota Timberwolves,100
10/30/2013,New Orleans Pelicans,90,Orlando Magic,110
10/30/2013,Utah Jazz,84,Phoenix Suns,87
10/30/2013,Los Angeles Clippers,110,Sacramento Kings,101
10/30/2013,Philadelphia 76ers,109,Washington Wizards,102
10/30/2013,Memphis Grizzlies,99,Dallas Mavericks,111
10/30/2013,Sacramento Kings,87,Golden State Warriors,98
10/30/2013,Cleveland Cavaliers,74,Indiana Pacers,89
10/30/2013,Toronto Raptors,97,Milwaukee Bucks,90
10/30/2013,Charlotte Bobcats,84,New Orleans Pelicans,105
10/30/2013,Chicago Bulls,104,Philadelphia 76ers,107
10/30/2013,San Antonio Spurs,105,Portland Trail Blazers,115
10/30/2013,Houston Rockets,104,Utah Jazz,93
10/30/2013,Boston Celtics,77,Detroit Pistons,87
10/30/2013,Atlanta Hawks,103,Los Angeles Lakers,105
10/30/2013,Washington Wizards,93,Miami Heat,103
10/30/2013,Minnesota Timberwolves,109,New York Knicks,100
10/30/2013,Phoenix Suns,96,Oklahoma City Thunder,103
10/30/2013,Brooklyn Nets,86,Orlando Magic,107
10/30/2013,Minnesota Timberwolves,92,Cleveland Cavaliers,93
10/30/2013,Houston Rockets,118,Los Angeles Clippers,137
10/30/2013,Boston Celtics,88,Memphis Grizzlies,95
10/30/2013,Golden State Warriors,110,Philadelphia 76ers,90
10/30/2013,Utah Jazz,88,Brooklyn Nets,104
10/30/2013,Los Angeles Lakers,104,Dallas Mavericks,123
10/30/2013,San Antonio Spurs,102,Denver Nuggets,94
10/30/2013,Indiana Pacers,99,Detroit Pistons,91
10/30/2013,Phoenix Suns,104,New Orleans Pelicans,98
10/30/2013,Charlotte Bobcats,102,New York Knicks,97
10/30/2013,Houston Rockets,116,Portland Trail Blazers,101
10/30/2013,Atlanta Hawks,105,Sacramento Kings,100
10/30/2013,Miami Heat,104,Toronto Raptors,95
10/30/2013,Utah Jazz,87,Boston Celtics,97
10/30/2013,Toronto Raptors,90,Charlotte Bobcats,92
10/30/2013,Chicago Bulls,80,Indiana Pacers,97
10/30/2013,New Orleans Pelicans,99,Memphis Grizzlies,84
10/30/2013,Cleveland Cavaliers,104,Milwaukee Bucks,109
10/30/2013,Golden State Warriors,106,Minnesota Timberwolves,93
10/30/2013,Dallas Mavericks,93,Oklahoma City Thunder,107
10/30/2013,Los Angeles Clippers,90,Orlando Magic,98
10/30/2013,Washington Wizards,116,Philadelphia 76ers,102
10/30/2013,Phoenix Suns,96,San Antonio Spurs,99
10/30/2013,Atlanta Hawks,107,Denver Nuggets,109
10/30/2013,Los Angeles Lakers,99,Houston Rockets,98
10/30/2013,Los Angeles Clippers,97,Miami Heat,102
10/30/2013,New York Knicks,101,Charlotte Bobcats,91
10/30/2013,Utah Jazz,73,Chicago Bulls,97
10/30/2013,Oklahoma City Thunder,119,Detroit Pistons,110
10/30/2013,Toronto Raptors,84,Indiana Pacers,91
10/30/2013,Dallas Mavericks,108,Minnesota Timberwolves,116
10/30/2013,Los Angeles Lakers,85,New Orleans Pelicans,96
10/30/2013,Boston Celtics,91,Orlando Magic,89
10/30/2013,Cleveland Cavaliers,79,Philadelphia 76ers,94
10/30/2013,Denver Nuggets,103,Phoenix Suns,114
10/30/2013,Sacramento Kings,91,Portland Trail Blazers,104
10/30/2013,Golden State Warriors,74,San Antonio Spurs,76
10/30/2013,Brooklyn Nets,108,Washington Wizards,112
10/30/2013,Orlando Magic,94,Atlanta Hawks,104
10/30/2013,Indiana Pacers,96,Brooklyn Nets,91
10/30/2013,Philadelphia 76ers,125,Cleveland Cavaliers,127
10/30/2013,Los Angeles Clippers,107,Houston Rockets,94
10/30/2013,Golden State Warriors,90,Memphis Grizzlies,108
10/30/2013,Boston Celtics,111,Miami Heat,110
10/30/2013,Dallas Mavericks,91,Milwaukee Bucks,83
10/30/2013,Portland Trail Blazers,96,Sacramento Kings,85
10/30/2013,Utah Jazz,91,Toronto Raptors,115
10/30/2013,Minnesota Timberwolves,113,Los Angeles Lakers,90
10/30/2013,San Antonio Spurs,120,New York Knicks,89
10/30/2013,Washington Wizards,105,Oklahoma City Thunder,106
10/30/2013,New Orleans Pelicans,94,Phoenix Suns,101
10/30/2013,Orlando Magic,105,Boston Celtics,120
10/30/2013,Atlanta Hawks,103,Charlotte Bobcats,94
10/30/2013,Cleveland Cavaliers,81,Chicago Bulls,96
10/30/2013,Toronto Raptors,104,Houston Rockets,110
10/30/2013,Memphis Grizzlies,79,Indiana Pacers,95
10/30/2013,Minnesota Timberwolves,107,Los Angeles Clippers,109
10/30/2013,San Antonio Spurs,109,Philadelphia 76ers,85
10/30/2013,Detroit Pistons,103,Portland Trail Blazers,109
